,Summary,Date,JobTitle,AuthorLocation,OverallRating,Pros,Cons,Company,negative,neutral,positive,compound
0,great place to learn,"May 19, 2022", Skincare Consultant,"Pittsburgh, PA",5.0,spent a lot of time training and preparing me for the job,management can be very sales motivated can be discouraging at times on low days,L'Occitane,0.0,0.423,0.577,0.6249
1,loved it here,"May 11, 2022", Cashier/Sales Associate,"Boston, MA",5.0,my manager was amazing she worked hard and cared for her team she worked with us and was knowledgeable about the products,the pay was just minimum wage,L'Occitane,0.0,0.339,0.661,0.5994
2,good company to stay,"May 6, 2022", Beauty Advisor,Melbourne,4.0,flexible shift good for parttime good discount,less hour not good for promotion,L'Occitane,0.0,0.508,0.492,0.4404
3,please do not apply for a job here,"May 4, 2022", Boutique Manager,Parramatta,1.0,previously worked with an amazing supportive team until change of upper management who only care about kpi, upper management do not care about you your mental health or your well being management expected to stay back come early cover shift from other store with no extra pay casuals are forced to open and close with no senior duty pay ridiculously high expectations on something management cant even achieve themselves do not apply here unless you want to feel slaved in melbourne australia,L'Occitane,0.0,0.723,0.277,0.3182
4,dont work here,"May 4, 2022", Manager,"Sheffield, England",1.0,they make good hand creamthats it,management is horrific they care only for profit they do not value people pay way below market no one has career growth and they try to pretend they have values do not work here if you are female not european or not a minionit wont work out not diverse in higherlevel roles but pretend to be filed for bankruptcy to get out of paying for retail leases and screwed over small business owners and people as a result all of this comes from the top which is just sad work elsewhere,L'Occitane,0.0,1.0,0.0,0.0
5,much promised nothing delivered,"Apr 6, 2022", Anonymous Employee,"London, England",1.0,great discount wonderful products beautiful stores,no chance for advancement and their retention is a joke they cant keep talent to save themselves but thats probably why they went into chapter avoid this place if you want an actual career path,L'Occitane,0.0,0.545,0.455,0.3612
6,positive work environment,"Apr 2, 2022", Customer Care Advisor,Hong Kong,4.0,lovely culture everyone is friendly and welcoming,salary not competitive little room for progression,L'Occitane,0.0,0.357,0.643,0.5574
7,divine office,"Apr 1, 2022", Marketing Executive,"Calgary, AB",4.0,nice office great ceo amazing colleagues,poor mid level management inefficient hr,L'Occitane,0.0,0.217,0.783,0.5574
8,job review,"Mar 31, 2022", Beauty Advisor,Geneva,3.0,some pros are meeting new clients employee discounts and other benefits,the company expects you to do a lot more for less money time off is rare things that are uncontrollable you get blamed for,L'Occitane,0.0,1.0,0.0,0.0
9,an enjoyable work experience,"Mar 29, 2022", Beauty Advisor,Sydney,4.0,loccitane had some of the best employee training material i have ever worked with there was always new training material for upcoming product lines and opportunities to improve product knowledge,management seems distant dms are easy to communicate with but higher management feels very far away despite the companys desire to create a family environment i once met a team from the north america office and they were incredible dismissive of me one even interrupted me to say that my thoughts werent important after another member of the team was asking for my opinion,L'Occitane,0.0,0.508,0.492,0.4404
10,job review,"Mar 20, 2022", Sales Associate,"New York, NY",4.0, percent off products works with my schedule,last minute changes to schedule sometimes,L'Occitane,0.0,1.0,0.0,0.0
11,good experience,"Mar 19, 2022", Operations,"New York, NY",4.0,great place to learn good culture great products,hefty workload high turnover lately,L'Occitane,0.0,0.256,0.744,0.4404
12,good experience,"Mar 14, 2022", Sales Associate,"London, England",4.0, very lucky to have a fantastic team nice perks didnt feel like you had to be pushy when selling addons at till are easy to sell to people because they are so good good breaks, lack of contracts ,L'Occitane,0.0,0.256,0.744,0.4404
13,great company low pay,"Mar 12, 2022", Assistant Manager,"Oakbrook Terrace, IL",2.0,great environment good training tools,low pay no salary hikes,L'Occitane,0.407,0.116,0.477,0.3818
14,company experience,"Mar 11, 2022", Retail Operations Coordinator,"Reading, England",3.0,great benefits product hybrid schedule and beautiful office,horrible pay a lot of micro aggression within the team especially directorsmanagers,L'Occitane,0.0,1.0,0.0,0.0
15,great coworkers and bonuses,"Feb 23, 2022", Beauty Advisor,"Dublin, Dublin",5.0,competitive hourly and great bonuses,poor hours immediately following holiday,L'Occitane,0.0,0.206,0.794,0.8271
16,great work place,"Feb 19, 2022", Christmas Temp,"São Paulo, São Paulo",5.0,really friendly and helpful coworkers,store can be busy at christmas,L'Occitane,0.0,0.328,0.672,0.6249
17,ok,"Feb 16, 2022", Procurement Manager,"Exeter, England",3.0,the brand is full of real and meaningful histories social impact,not diverse not inclusive hierarchical poor benefits,L'Occitane,0.0,0.0,1.0,0.296
18,great company,"Feb 5, 2022", Sales Manager,"New York, NY",4.0,great company to work for,long work hours and days,L'Occitane,0.0,0.196,0.804,0.6249
19,lovely company,"Feb 3, 2022", Christmas Sales Associate,"Auckland, Auckland",5.0,great staff perks atmosphere and pay,there were no cons here,L'Occitane,0.0,0.208,0.792,0.5859
20,dont work for us office,"Feb 3, 2022", Anonymous Employee,Sydney,2.0, nice products discounts for employees inspiring and innovative vision from hq in fr beautiful imagery friendly colleagues, low pay no promotion until someone leaves too much politics leadership team and upper management are toxic,L'Occitane,0.0,1.0,0.0,0.0
21,nice company to work for,"Feb 3, 2022", Beauty Advisor,"Dublin, Dublin",4.0,gratis really nice co workers and dm lots to learn,not enough room to move up in company retail hour availability ,L'Occitane,0.0,0.588,0.412,0.4215
22,everyone here is friendly,"Jan 14, 2022", Retail Assistant,Hong Kong,4.0,everyone here is friendly manager is caring,peak seasons are busy no life,L'Occitane,0.0,0.484,0.516,0.4939
23,good learning experience,"Jan 13, 2022", Executive,"Miami, FL",3.0,dynamic working environment opportunities for growth if you are willing to work more and learn new skills,lack of employee welfarebenefits menial tasks due to lack of available resources,L'Occitane,0.0,0.408,0.592,0.4404
24,need to be hands on,"Jan 12, 2022", Anonymous Employee,Kampong Sungai Merali,1.0,staff discount and product claim and people are nice,no work life balance many diy,L'Occitane,0.0,1.0,0.0,0.0
25,on,"Jan 11, 2022", Retail Sales Associate,"London, England",4.0,bonuses free products training sink,slow not much hours parking,L'Occitane,0.0,1.0,0.0,0.0
26,company culture,"Jan 11, 2022", E-Commerce Assistant,"Dublin, Dublin",1.0,free gifts work life balance understanding boss,low salary disassociated with colleagues high turnover,L'Occitane,0.0,1.0,0.0,0.0
27,lovely company with great values,"Dec 27, 2021", Digital Communications Officer,"London, England",5.0,work life balance is good inspiring commitments to charity and positive intent is always maintained,difference in culture with french colleagues,L'Occitane,0.0,0.159,0.841,0.891
28,amazing work environment,"Dec 4, 2021", Senior Manager,"London, England",5.0,bosses you can learn a lot from,none so far overall good,L'Occitane,0.0,0.345,0.655,0.5859
29,human size supportive teams,"Nov 18, 2021", Supply Chain Manager,"Cary, NC",5.0,not so many employees supportive teams central london head office,i dont think of any cons,L'Occitane,0.0,0.577,0.423,0.296
30,great culture,"Nov 17, 2021", Anonymous Employee,"New York, NY",4.0,lots of great benefits and rewards,salary could be more competitive,L'Occitane,0.0,0.196,0.804,0.6249
31,great environment,"Nov 15, 2021", Sales Associate,"Bellevue, WA",5.0,great management great environment to work at my experience working with this company was fun i enjoyed every single aspect working at loccitane,difficult to grow from sales position,L'Occitane,0.0,0.196,0.804,0.6249
32,amazing co worker and manager but disorganized,"Oct 29, 2021", Anonymous Employee,Singapore,4.0,amazing manager and coworkers very easy and laidback good pay,very disorganized higher ups have no idea what is really going on in the boutiques and stores very disorganized and disconnected,L'Occitane,0.275,0.49,0.235,-0.1027
33,wish it was a better experience,"Oct 19, 2021", Anonymous Employee,Budapest,1.0, free gratis once in a while, lazy coworkers manager not honoring requests off team leads not listening to employees,L'Occitane,0.0,0.349,0.651,0.6808
34,great place to work,"Oct 3, 2021", Store Manager,"Bristol, England",4.0,great company product and benefits,upper management difficult to get into,L'Occitane,0.0,0.423,0.577,0.6249
35,low paying typical retail,"Oct 3, 2021", Sales Associate/Key Holder,Sydney,3.0,fun coworkers and nice products,crazy unrealistic sales goals upper management has no clue how the stores actually run,L'Occitane,0.412,0.588,0.0,-0.2732
