,word,username,description,location,following,followers,totaltweets,retweetcount,date,text,hashtags,nb_words,text_len,subjectivity,polarity,negative,neutral,positive,compound
0,L'Occitane,RecOnlineShop,hello i like shopping on amazon and kindle stores and have spent more than  yen so far  i will introduce things that i am interested in because i am against stemma i will not introduce  suspicious things even if i get money,sapporo,2852,2838,11158,0,2022-06-11 08:33:37,i think that loccitane is used by women but this size may not be disturbing to men loccitane flower mini hand cream ,[],22,116,0.8,-0.5,0.0,0.708,0.292,0.834
1,L'Occitane,WaltherBeck,in  there were fears of soviet tanks coming to paris today i find myself hoping for it ,we move forward and then we see,610,520,65459,5,2022-06-11 07:43:17, after a few weeks of absence the french brand loccitane seems to be back in moscow but with a sign in cyrillic локситан ,"['marque', 'française']",23,121,0.025,-0.053125000000000006,0.0,1.0,0.0,0.0
3,L'Occitane,frndvrgs,,,181,19,574,0,2022-06-11 07:05:29, loccitan loccitane in provence,[],4,31,0.0,0.0,0.0,1.0,0.0,0.0
4,L'Occitane,rachhparr,frannies mom ,stuck in pittsburgh ,355,165,3761,0,2022-06-11 07:05:03, they have a perfume that i once splurged on and wore for all of junior year and i have never felt so pretty than when i wore it i need to get my ass to loccitane,[],36,162,1.0,0.25,0.096,0.792,0.112,0.1571
5,L'Occitane,clubkano0855,レシピ 料理 グルメ amazon アマゾン 相互フォロー followmejp 無言フォローok,,8768,8495,13682,0,2022-06-11 07:02:28,loccitanes loccitane cherry blossom soft hand ice cream checked on amazon from amazon,[],13,85,0.35,0.1,0.0,0.602,0.398,0.6808
6,L'Occitane,nikkojump, ɢɪʀʟs ɢᴇɴᴇʀᴀᴛɪᴏɴ  ᴊᴇssɪᴄᴀ  ᴊ𒌜ɴɢ  ᴛʜᴀɪ s  ɴᴇ    さくら  ɪᴢᴏɴᴇ  lesserafim    นกกรวว,ᴍʏ ɢɪʀʟs ᴍʏ ᴍᴇᴍᴏʀɪᴇs,398,6434,242750,0,2022-06-11 06:48:00,new loccitane immortelle reset oilinserum limited size reduced baht use codding baht ,[],12,85,0.2987012987012987,0.032467532467532464,0.147,0.853,0.0,-0.2263
7,L'Occitane,snes_32,snesfsu du gers,,171,96,941,1,2022-06-11 06:25:03,merger of the sites of toulouse occitane and cartoucherie condemned by the justice under the impetus of the snu of fo and the snap and their elected in cse ,"['Fusion', 'Toulouse', 'Occitane', 'Cartoucherie']",29,156,0.0,0.0,0.087,0.811,0.102,0.128
8,L'Occitane,toncrowry,its  a shame that the net news takes hours a day i just look at various peoples arguments in the comments i like to do research so i think i will murmur a lot of things regards ,,6,1010,21455,0,2022-06-11 06:00:52,the scramble for the lucky bag has already begun ladies ladies special collection other set ,[],15,92,0.5932539682539683,0.1884920634920635,0.0,0.703,0.297,0.6705
9,L'Occitane,praypla,i miss you mom im hottest  forever  always happy to be in the hottest and forever  ill be ther for you,,413,984,80253,2,2022-06-11 05:47:17, لوحة إعلانية للوسيـم جونهو لماركة loccitane على إحدى المباني في كوريا tufiem junho junho junho leejunho ,"['2PM', '투피엠', 'JUNHO']",16,105,0.0,0.0,0.0,1.0,0.0,0.0
10,L'Occitane,yrgz91,rin kisakiayasei  fiorenade meu ogumaerabaresi castle bloom mariabsp baxte sotokanda chome bsp nextrico aiko hamaguchi haruna runa,in this corner of the world,867,443,43374,0,2022-06-11 05:19:52,im at loccitane café by pierre hermé in shibuyaku tokyo ,[],10,56,0.0,0.0,0.0,1.0,0.0,0.0
11,L'Occitane,kana_ogawa,i love mail order 相互フォロー,,7069,7101,1148983,0,2022-06-11 04:35:37,nail care loccitane shea nail oil amazon,['Amazon'],7,40,0.0,0.0,0.0,0.505,0.495,0.5994
12,L'Occitane,marisamcdee,a wife a mom a limelife by alcone independent beauty guide director a very lucky gal,kansas city mo,160,66,1596,0,2022-06-11 04:26:18,the girls were completely rained out today not fun when youre out of town and wanting to play but were making the most of it and trying some loccitane sheet masks tonight for a little pamper sesh before a crazy day tomorrow softballmomlife ,['softballmomlife'],43,240,0.5,-0.06749999999999999,0.111,0.851,0.038,-0.5025
13,L'Occitane,EvertonAbreu13,,teresina ,223,224,462,0,2022-06-11 04:12:24, already have loccitane,[],3,23,0.0,0.0,0.0,1.0,0.0,0.0
14,L'Occitane,CalmateElvira,ouɐɯnɔn opɹo crocsconmedias morfiychupi,,594,15494,103185,0,2022-06-11 04:09:11,the kid is massaging the brides feet with my loccitane foot cream,[],12,65,0.0,0.0,0.0,1.0,0.0,0.0
15,L'Occitane,readycosme, daily delivery view reviews readycosmereview   tuck line id  quickest reply dm twitter rarely alerted,din daeng bangkok,55,706,1723,0,2022-06-11 03:54:36,readycosmeloccitane roundtheclock bottle shop loccitane xhello kitty naughty package zhong and endless fresh loccitane x hello kitty connel tednazz almond shower ml bath bring fresh hottest freshly scented todded fresh ,['readycosme_loccitane'],30,219,0.6083333333333333,0.15416666666666667,0.0,0.79,0.21,0.7096
16,L'Occitane,twgagawang,ɪɴ ꜱᴛᴏᴄᴋ คสtw  ʀᴇᴠɪᴇᴡ twรวว  pᴇʀғᴏʀᴍ  reserved  ,tugline responded quickly,18,6862,30390,0,2022-06-11 03:45:12,พรอมสง loccitane almond shower oil ecorefill duo set almond shower oil ecorefill loccitane intensive repair shampoo ecorefill bundle intensive repair shampoo refill loccitane bodyoil ,"['loccitane', 'bodyoil']",24,183,0.0,0.0,0.0,1.0,0.0,0.0
17,L'Occitane,audreyandray,i enjoy knitting  sharing the word with the world whencallstheheart theredsleeve kdramas music ,,4993,3988,343166,1,2022-06-11 03:42:00,at the airport now and managed to get my hands on loccitane its such a light and citrus smell leejunho junho 이준호 준호 ,"['LeeJunHo', 'JunHo']",23,116,0.6,0.2,0.0,1.0,0.0,0.0
18,L'Occitane,feistygrowl,i can fly my friends,,19,10,247,0,2022-06-11 03:34:18, loccitane the cherry blossom kak emang sih its a bit pricey and he still eau de toilette tp trust me durableaaa ,[],21,113,0.0,0.0,0.0,0.852,0.148,0.5106
