,voices,date,similarities,compound
0,Social,2022-04-07,0.8681766,-0.0814
0,Social,2022-04-06,0.94015825,0.8402
0,Social,2022-04-05,0.9769414,0.8442
0,Social,2022-04-03,0.97365165,0.9659
0,Social,2022-04-01,0.83007455,0.5719
0,Social,2022-03-29,0.9415215,0.8555
0,Social,2022-03-27,0.7495225,0.4939
0,Social,2022-03-26,0.9107787,0.128
0,Social,2022-03-25,0.9813925,0.8834
0,Social,2022-03-24,0.89533365,0.5267
0,Social,2022-03-22,0.72729933,-0.3412
0,Social,2022-03-19,0.9764062,0.7845
0,Social,2022-03-18,0.9405285,0.2732
0,Social,2022-03-18,0.9180598,0.4939
0,Social,2022-03-17,0.7425801,0.8807
0,Social,2022-03-16,0.68481,0.6705
0,Social,2022-03-16,0.9497696,-0.4031
0,Social,2022-03-13,0.92991495,0.6908
0,Social,2022-03-12,0.964502,0.4939
0,Social,2022-03-11,0.97528255,0.836
0,Social,2022-03-10,0.8795465,0.2023
0,Social,2022-03-09,0.9730861,0.0
0,Social,2022-03-07,0.87486094,0.4215
0,Social,2022-03-07,0.80065095,0.0
0,Social,2022-03-07,0.8006513,0.0
0,Social,2022-03-06,0.8858566,0.0
0,Social,2022-03-05,0.95191133,0.802
0,Social,2022-03-04,0.9029391,0.0
0,Social,2022-03-03,0.9778242,0.8625
0,Social,2022-02-28,0.96484876,0.3612
0,Social,2022-02-27,0.946719,0.7096
0,Social,2022-02-26,0.96517134,0.8442
0,Social,2022-02-25,0.9149195,0.6124
0,Social,2022-02-23,0.80065143,0.0
0,Social,2022-02-22,0.97354496,0.0
0,Social,2022-02-20,0.9705839,0.7065
0,Social,2022-02-19,0.97483385,0.4767
0,Social,2022-02-18,0.9670342,0.8225
0,Social,2022-02-16,0.96346325,0.7798
0,Social,2022-02-15,0.8666099,0.3612
0,Social,2022-02-13,0.858141,0.7269
0,Social,2022-02-12,0.76389766,0.8176
0,Social,2022-02-10,0.95606935,0.0
0,Social,2022-02-09,0.85066324,0.8225
0,Social,2022-02-06,0.9282776,0.6249
0,Social,2022-02-05,0.83231765,0.4019
0,Social,2022-02-04,0.96946144,0.7506
0,Social,2022-02-03,0.9825472,0.7783
0,Social,2022-02-02,0.9282766,-0.296
0,Social,2022-02-02,0.8083197,0.0
0,Social,2022-02-02,0.92226386,0.7783
0,Social,2022-02-01,0.7322506,0.7269
0,Social,2022-02-01,0.95535254,0.0
0,Social,2022-02-01,0.85236394,0.0516
0,Social,2022-01-31,0.9712484,0.5719
0,Social,2022-01-30,0.881249,0.0
0,Social,2022-01-29,0.9419285,0.8625
0,Social,2022-01-28,0.92111343,0.8402
0,Social,2022-01-27,0.9401254,0.5267
0,Social,2022-01-26,0.86869377,0.8481
0,Social,2022-01-25,0.94260037,0.5267
0,Social,2022-01-24,0.7876318,0.5574
0,Social,2022-01-23,0.8870316,0.7096
0,Social,2022-01-22,0.97546893,0.0
0,Social,2022-01-20,0.9563084,0.9287
0,Social,2022-01-17,0.9005333,0.3182
0,Social,2022-01-16,0.68136436,0.4019
0,Social,2022-01-14,0.9693686,0.7184
0,Social,2022-01-13,0.9747362,0.2023
0,Social,2022-01-13,0.80065095,0.0
0,Social,2022-01-13,0.96079993,0.6249
0,Social,2022-01-11,0.9548021,0.0
0,Social,2022-01-11,0.98189205,0.128
0,Social,2022-01-10,0.94995546,-0.0772
0,Social,2022-01-08,0.91979045,0.0
0,Social,2022-01-07,0.794072,0.4939
0,Social,2022-01-06,0.9529276,-0.0976
0,Social,2022-01-05,0.9762816,0.5574
0,Social,2022-01-05,0.87577534,0.5719
0,Social,2022-01-04,0.89094144,0.7003
0,Social,2022-01-02,0.8141624,0.4404
0,Social,2022-01-01,0.9479046,0.5574
0,Social,2021-12-31,0.9259409,0.8126
0,Social,2021-12-30,0.8430651,0.5423
0,Social,2021-12-30,0.90696865,0.0
0,Social,2021-12-26,0.92326534,0.6249
0,Social,2021-12-25,0.975692,0.9549
0,Social,2021-12-24,0.94760513,0.0
0,Social,2021-12-24,0.9690325,-0.1633
0,Social,2021-12-23,0.9707066,-0.296
0,Social,2021-12-23,0.859328,0.0
0,Social,2021-12-22,0.80065143,0.0
0,Social,2021-12-22,0.88762826,-0.34
0,Social,2021-12-19,0.9825803,0.8074
0,Social,2021-12-16,0.9341755,0.8689
0,Social,2021-12-14,0.80065143,0.0
0,Social,2021-12-14,0.765507,0.3612
0,Social,2021-12-14,0.9280647,0.6731
0,Social,2021-12-13,0.9641321,0.4404
0,Social,2021-12-09,0.95801085,0.9761
0,Social,2021-12-08,0.9532295,0.0
0,Social,2021-12-07,0.9768108,0.8555
0,Social,2021-12-07,0.9530282,0.3818
0,Social,2021-12-03,0.864558,0.9393
0,Social,2021-12-01,0.9548794,0.34
0,Social,2021-11-29,0.9479431,0.7845
0,Social,2021-11-26,0.96199375,0.4939
0,Social,2021-11-25,0.7792678,0.0
0,Social,2021-11-24,0.9485006,0.1531
0,Social,2021-11-22,0.97938097,0.8176
0,Social,2021-11-19,0.91194344,0.34
0,Social,2021-11-18,0.9697157,0.4754
0,Social,2021-11-17,0.9740936,0.802
0,Social,2021-11-14,0.96167934,0.9349
0,Social,2021-11-08,0.92225766,0.0
0,Social,2021-11-07,0.9690379,0.5106
0,Social,2021-11-06,0.6595362,0.0
0,Social,2021-11-05,0.9429376,0.7906
0,Social,2021-11-05,0.9270953,0.6908
0,Social,2021-11-04,0.9513402,0.961
0,Social,2021-11-01,0.9785442,0.4939
0,Social,2021-10-31,0.9427595,0.7906
0,Social,2021-10-30,0.9557165,0.6031
0,Social,2021-10-27,0.9543115,0.8126
0,Social,2021-10-26,0.92142665,0.7506
0,Social,2021-10-24,0.8952991,0.5859
0,Social,2021-10-23,0.8305223,-0.6012
0,Social,2021-10-21,0.93217933,0.6597
0,Social,2021-10-20,0.80065143,0.0
0,Social,2021-10-20,0.9357141,0.8074
0,Social,2021-10-20,0.80065095,0.0
0,Social,2021-10-20,0.93942785,0.6731
0,Social,2021-10-20,0.6701089,0.7845
0,Social,2021-10-18,0.95992774,0.8481
0,Social,2021-10-18,0.9350399,0.2023
0,Social,2021-10-16,0.9808686,0.0108
0,Social,2021-10-14,0.92683876,0.7845
0,Social,2021-10-13,0.8068329,0.7184
0,Social,2021-10-13,0.94005775,0.7845
0,Social,2021-10-13,0.96912944,0.128
0,Social,2021-10-12,0.8288574,0.5106
0,Social,2021-10-10,0.9785116,0.9268
0,Social,2021-10-07,0.95114505,0.34
0,Social,2021-10-05,0.87488174,0.5103
0,Social,2021-10-03,0.9039687,0.6486
0,Social,2021-10-02,0.9074956,0.9136
0,Social,2021-09-30,0.80065095,0.0
0,Social,2021-09-30,0.92960465,0.0
0,Social,2021-09-28,0.92354727,0.4588
0,Social,2021-09-23,0.9479503,0.9186
0,Social,2021-09-22,0.8958878,0.0
0,Social,2021-09-22,0.8530654,0.3612
0,Social,2021-09-20,0.95279723,0.7845
0,Social,2021-09-19,0.94524884,-0.5251
0,Social,2021-09-18,0.96743715,0.8546
0,Social,2021-09-16,0.9601804,0.5859
0,Social,2021-09-15,0.88799524,0.6369
0,Social,2021-09-11,0.8908236,0.5859
0,Social,2021-09-07,0.9681382,-0.0516
0,Social,2021-09-04,0.96218383,0.8885
0,Social,2021-09-03,0.9154785,0.9136
0,Social,2021-09-02,0.83978236,0.1027
0,Social,2021-09-01,0.96436256,0.8316
0,Social,2021-08-30,0.9428998,0.7906
0,Social,2021-08-28,0.9426398,0.5574
0,Social,2021-08-25,0.82968193,0.2263
0,Social,2021-08-24,0.9566573,0.0
