,Unnamed: 0,language,summary,date,rating,negative,neutral,positive,compound,similarity
0,0,I received polite and kind service from Vivienne.I think the company should change its website layout so that it is clear when a gift message is intended to be included with a gift. Thank you,i received polite and kind service from viviennei think the company should change its website layout so that it is clear when a gift message is intended to be included with a gift thank you,2022-05-21,5,0.0,0.654,0.346,0.9231,0.97534984
1,1,"Vivienne helped me with an issue of a Gift code today (21 May 2022). I really appreciate it because the package is for my bff birthday gift (23/5), i hope it arrived by 27/5. I am impressed with LOccitane UK costumer service & IG admin staff, compared to Indonesian one that i complained a lot and like to forward my problem to another WhatsApp team. Pathetic. Their service do not reflect LOccitane as global brand. New products also available 1 month early in the UK, compared to Indonesia (like Herbae Sage). The worst is L'Occitane Turkey (old- not updated products range, but cheaper price & faster delivery than UK)",vivienne helped me with an issue of a gift code today  i really appreciate it because the package is for my bff birthday gift  i hope it arrived by  i am impressed with loccitane uk costumer service  ig admin staff compared to indonesian one that i complained a lot and like to forward my problem to another whatsapp team pathetic their service do not reflect loccitane as global brand new products also available month early in the uk compared to indonesia  the worst is loccitane turkey ,2022-05-21,5,0.128,0.667,0.205,0.7902,0.96757525
2,2,"I asked about purchasing a product that is exclusive to a l’Occitane promotion - Vivienne was so helpful in answering my query; she was quick and responsive, provided a great resolution, and I am very pleased with the accessibility of the service.  Thank you!",i asked about purchasing a product that is exclusive to a loccitane promotion  vivienne was so helpful in answering my query she was quick and responsive provided a great resolution and i am very pleased with the accessibility of the service thank you,2022-05-21,5,0.0,0.648,0.352,0.9469,0.9724357
3,3,"I contacted L'Occitane customer service as my small glass tube of my favourite Verbena eau de toilette had sprung a leak! I explained the problem to Mishellina who was very patient as I tried to describe how the screw on lid did not fit squarely on the tube anymore. She asked for a brief message with the photo I had taken to be sent for her to explain and promised a reply that day.I did that but didn't really expect a response so I was delighted to get a reply within an hour offering me a replacement, to be posted out as my nearest store is 35 miles away!This was great service from Mishellina and L'Occitane to resolve my problem and provide an unexpected treat. Thank you",i contacted loccitane customer service as my small glass tube of my favourite verbena eau de toilette had sprung a leak i explained the problem to mishellina who was very patient as i tried to describe how the screw on lid did not fit squarely on the tube anymore she asked for a brief message with the photo i had taken to be sent for her to explain and promised a reply that dayi did that but didnt really expect a response so i was delighted to get a reply within an hour offering me a replacement to be posted out as my nearest store is miles awaythis was great service from mishellina and loccitane to resolve my problem and provide an unexpected treat thank you,2022-05-21,5,0.072,0.763,0.165,0.9486,0.9589095
4,4,"Excellent customer service. Soni was extremely helpful, professional, and efficient in dealing with and resolving  my issue. Very impressive customer service. Thank you!",excellent customer service soni was extremely helpful professional and efficient in dealing with and resolving my issue very impressive customer service thank you,2022-05-20,5,0.0,0.482,0.518,0.9537,0.9716028
5,5,"I am very impressed with L'Occitane customer service so I wanted to leave a quick review (my contact was called Soni). It makes such a difference when interacting with a brand IMO. The situation was a mechanical issue with the pump on my product. Six months had already passed since the purchase. My bad. Despite this, the issue was dealt with promptly, with clear communication, warmth and attention to detail. L'Occitane, give Soni a promotion :) Thanks for your help, and for making the most amazing body oil I have ever used. Gratitude to you!",i am very impressed with loccitane customer service so i wanted to leave a quick review  it makes such a difference when interacting with a brand imo the situation was a mechanical issue with the pump on my product six months had already passed since the purchase my bad despite this the issue was dealt with promptly with clear communication warmth and attention to detail loccitane give soni a promotion  thanks for your help and for making the most amazing body oil i have ever used gratitude to you,2022-05-20,5,0.05,0.728,0.222,0.9518,0.9697748
6,6,Excellence service and  prompt response . Thank you,excellence service and prompt response  thank you,2022-05-19,5,0.0,0.431,0.569,0.765,0.9539421
7,7,"Wonderful, professional and extremely helpful contact with Mishellina today at this lovely company.  We all know their products are just superb, but their CS is exceptional.  Thank you so much for your marvelous help this week Mishellina over my product availability query - you went above and beyond to source the product for me - and then gave me an alternative! Excellent service.",wonderful professional and extremely helpful contact with mishellina today at this lovely company we all know their products are just superb but their cs is exceptional thank you so much for your marvelous help this week mishellina over my product availability query  you went above and beyond to source the product for me  and then gave me an alternative excellent service,2022-05-19,5,0.0,0.663,0.337,0.9796,0.9801077
8,8,"Having contacted customer services about an unfortunate experience I had in one of L’occitane stores, I was contacted by Renata who dealt speedily and efficiently with my issue and reassured me the matter was being addressed appropriately.  As a thank you for bringing the matter to their attention Renata has organised for a treat to be sent to me, this is excellent customer service from L’occitane - thank you!",having contacted customer services about an unfortunate experience i had in one of loccitane stores i was contacted by renata who dealt speedily and efficiently with my issue and reassured me the matter was being addressed appropriately as a thank you for bringing the matter to their attention renata has organised for a treat to be sent to me this is excellent customer service from loccitane  thank you,2022-05-16,5,0.039,0.714,0.247,0.9186,0.9668158
9,9,I placed an order and forgot to get it gift wrapped. Contacted customer service and Soni ensured that the warehouse would gift wrap my order. Very prompt and great service!Thank you for making sure my mother’s birthday present was gift wrapped! :),i placed an order and forgot to get it gift wrapped contacted customer service and soni ensured that the warehouse would gift wrap my order very prompt and great servicethank you for making sure my mothers birthday present was gift wrapped ,2022-05-16,5,0.0,0.695,0.305,0.9367,0.8984293
10,10,Very fast and prompt response to my email enquiry problem sorted out immediately with no further hassel,very fast and prompt response to my email enquiry problem sorted out immediately with no further hassel,2022-05-12,5,0.246,0.754,0.0,-0.5994,0.9268573
11,11,"My order was delayed, however...customer service to resolve the Royal Mail problem was quick and efficient.Thanks Renata!Mark",my order was delayed howevercustomer service to resolve the royal mail problem was quick and efficientthanks renatamark,2022-05-12,5,0.217,0.66,0.123,-0.25,0.93348014
12,12,"I had ordered a gift voucher for my wife's birthday timed to be a day early. The day arrived but the voucher did not.  I emailed a note and the sales confirmation to the service dept then followed up an hour or so later with a phone call.  The lady contact was most helpful and short while later a request came back for confirmation of my bone fides.  Having supplied these, the voucher duly arrived in time for my wife's birthday. Now I call that first rate service.",i had ordered a gift voucher for my wifes birthday timed to be a day early the day arrived but the voucher did not i emailed a note and the sales confirmation to the service dept then followed up an hour or so later with a phone call the lady contact was most helpful and short while later a request came back for confirmation of my bone fides having supplied these the voucher duly arrived in time for my wifes birthday now i call that first rate service,2022-05-12,5,0.0,0.928,0.072,0.7261,0.93336606
13,13,"Always amazing customer service! Staff are always lovely in store, the birthday gift I received had 3 deluxe samples in a beautiful gift box for free! They care about their customers!",always amazing customer service staff are always lovely in store the birthday gift i received had deluxe samples in a beautiful gift box for free they care about their customers,2022-05-12,5,0.0,0.469,0.531,0.9744,0.9408244
14,14,"I love L'Occitane, all natural ingredients and eco refills to save the environment.",i love loccitane all natural ingredients and eco refills to save the environment,2022-05-11,5,0.0,0.476,0.524,0.872,0.9867406
15,15,Soni has helped me very well. I'm very appreciated her help which make me very happy. Thank you Soni!,soni has helped me very well im very appreciated her help which make me very happy thank you soni,2022-05-10,5,0.0,0.471,0.529,0.9405,0.969174
16,16,"Needed advice about how to use reset serum (with or without moisteriser, SPF, and if I should use it during the day)",needed advice about how to use reset serum ,2022-05-09,5,0.0,1.0,0.0,0.0,0.90974045
17,17,"My previous review was removed as l'occitane obviously didn't want any comments regarding their trading in Russia and I couldn't find my cash receipt. I know they subsequently stopped trading in Russia, I wonder if this was due to the backlash and the loss of customers?Just received an order (now have a current receipt) supposed to be gift wrapped with a gift card........guess what....no gift wrap, no gift card.Make your own mind up about this company.They'll get no more of my hard earned money.",my previous review was removed as loccitane obviously didnt want any comments regarding their trading in russia and i couldnt find my cash receipt i know they subsequently stopped trading in russia i wonder if this was due to the backlash and the loss of customersjust received an order supposed to be gift wrapped with a gift cardguess whatno gift wrap no gift cardmake your own mind up about this companytheyll get no more of my hard earned money,2022-05-09,5,0.13,0.738,0.132,0.4792,0.9669783
18,18,Really helpful staff at customer care. I forgot to tick a box before  submitting my order. They have rectified my error for me. Really appreciated as bought ahead of my 50th Birthday celebrations and want to pamper those attending. Thanks L'Occitane.,really helpful staff at customer care i forgot to tick a box before submitting my order they have rectified my error for me really appreciated as bought ahead of my birthday celebrations and want to pamper those attending thanks loccitane,2022-05-09,1,0.055,0.656,0.289,0.8856,0.96105343
19,19,L'Occitane went to greath lengths to resolve an error which I really appreciated.,loccitane went to greath lengths to resolve an error which i really appreciated,2022-05-09,5,0.151,0.503,0.346,0.5413,0.95507777
