,index,Unnamed: 0,brand,id,created_at,text,likes,in reply to,retweeted,nb_words,text_len,subjectivity,polarity,negative,neutral,positive,compound,similarity
0,0,0,LOCCITANE_UK,1512004537942372355,2022-04-07 09:49:08, hi laura were so sorry to hear this please send a photo of your eau de toilette with the missing t ,1,LauraGaribbo,False,21,100,0.525,-0.35,0.175,0.709,0.116,-0.0814,0.8681766
1,1,1,LOCCITANE_UK,1511735515061514242,2022-04-06 16:00:08,get eggcited for easter surprise and delight your loved ones with our limited edition easter eggs featuring ,11,,False,17,108,0.4714285714285714,0.3142857142857143,0.077,0.524,0.399,0.8402,0.94015825
2,2,2,LOCCITANE_UK,1511358834010296322,2022-04-05 15:03:20, we hope you enjoyed your visit to our market street boutique and look forward to welcoming you back ,0,TheresaHanlon7,False,18,101,0.35,0.25,0.0,0.622,0.378,0.8442,0.9769414
3,3,3,LOCCITANE_UK,1510542632912449540,2022-04-03 09:00:02,we are so delighted to announce that we have won the standard award for best refillable makeup beauty pr ,9,,False,19,105,0.3333333333333333,0.5666666666666667,0.0,0.419,0.581,0.9659,0.97365165
4,4,4,LOCCITANE_UK,1509817857432981511,2022-04-01 09:00:02,happy friday why not start of your weekend by unwinding from the busy week that has just gone by with our some of ,9,,False,23,114,0.65,0.45,0.0,0.856,0.144,0.5719,0.83007455
5,5,5,LOCCITANE_UK,1508821290366365699,2022-03-29 15:00:02,meet our awardwinning heroes tried tested and hailed as some of the best on the market by numerous wellreno ,4,,False,19,108,0.4,0.5,0.0,0.63,0.37,0.8555,0.9415215
6,6,6,LOCCITANE_UK,1508005918390165511,2022-03-27 09:00:02,looking for a recipe to bake this weekend inspired by both our cherry blossom almond collections see the re ,7,,False,19,108,0.0,0.0,0.0,0.842,0.158,0.4939,0.7495225
7,7,7,LOCCITANE_UK,1507749231473295364,2022-03-26 16:00:04,as the clocks go forward this weekend catch up on the hours sleep youve missed with the help of our awardwinnin ,4,,False,21,112,0.0,0.0,0.092,0.795,0.113,0.128,0.9107787
8,8,8,LOCCITANE_UK,1507386854059913222,2022-03-25 16:00:06,visit our beautiful display at in milton keynes where we are celebrating the special women in our lives ,6,,False,18,104,0.7857142857142857,0.6035714285714285,0.0,0.593,0.407,0.8834,0.9813925
9,9,9,LOCCITANE_UK,1507024455561728004,2022-03-24 16:00:04,in need of some lastminute gifting inspiration ahead of the weekend head to our website to explore our range o ,3,,False,20,111,0.0,0.0,0.0,0.841,0.159,0.5267,0.89533365
10,10,10,LOCCITANE_UK,1506216787636985864,2022-03-22 10:30:40,theres nothing better than a néroli orchidée body routine scent your skin with the tantalising fragrance of né ,6,,False,18,111,0.5,0.5,0.131,0.869,0.0,-0.3412,0.72729933
11,11,11,LOCCITANE_UK,1505212520713183238,2022-03-19 16:00:05,show the mothering figure in your life just how special she is with a gesture which shows your love and appreciatio ,9,,False,21,116,0.5857142857142856,0.4285714285714286,0.0,0.723,0.277,0.7845,0.9764062
12,12,12,LOCCITANE_UK,1504850139818565633,2022-03-18 16:00:06,today is world sleep day let us know in the comments the ways in which you create an atmosphere conducive to a ,3,,False,22,111,0.0,0.0,0.0,0.905,0.095,0.2732,0.9405285
13,13,13,LOCCITANE_UK,1504785766202830850,2022-03-18 11:44:18, we save tons of in transportation by having lighter pallets you can always purchase your own glass refi ,0,A2eGx,False,18,105,1.0,0.6,0.0,0.842,0.158,0.4939,0.9180598
14,14,14,LOCCITANE_UK,1504476590834561034,2022-03-17 15:15:45, happy st patricks day its your last chance to get your hands on this lovely pouch containing some of our be ,2,,False,21,109,0.6055555555555555,0.4333333333333333,0.0,0.638,0.362,0.8807,0.7425801
